"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","WTEMP","Lat_Env","Long_Env","oysteryear"
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,10.1,"37.800130000000003",-76.17466,1990
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,10.1,"37.800130000000003",-76.17466,1990
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,10.1,"37.800130000000003",-76.17466,1990
1990,"Apr","EE2.2",1990-04-03,11.28,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,9.3,"38.319420000000001",-76.14587,1990
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,10.1,"38.165320000000001",-76.00854,1990
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,10.1,"38.165320000000001",-76.00854,1990
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,9.3,"38.071159999999999",-76.04566,1990
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,9.3,"38.071159999999999",-76.04566,1990
1990,"Apr","EE3.3",1990-04-05,15,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,9.5,"37.568939999999998",-75.44161,1990
1990,"Apr","ET3.1",1990-04-18,0,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,13.8,"39.364150000000002",-75.88203,1990
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,8.7,"38.596419999999995",-76.12821,1990
1990,"Apr","ET5.2",1990-04-02,8.06,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,10.1,"38.395020000000002",-76.11291,1990
1990,"Apr","ET5.2",1990-04-02,8.06,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,10.1,"38.395020000000002",-76.11291,1990
